Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1997-10-31,@,DEN,W,107,96,40,74,.541,2,4,.500,25,38,.658,15,49,18,7,9,18,21,,36,85,.424,4,9,.444,20,26,.769,14,34,12,9,3,13,30
2,2,1997-11-01,,CLE,W,83,80,31,62,.500,1,4,.250,20,29,.690,8,39,25,10,10,23,29,,26,79,.329,3,15,.200,25,34,.735,18,42,18,16,2,15,23
3,3,1997-11-03,@,CHI,L,83,87,34,85,.400,0,7,.000,15,23,.652,12,56,23,6,6,23,31,,33,108,.306,6,17,.353,15,24,.625,26,60,21,12,9,13,27
4,4,1997-11-05,,VAN,W,87,79,37,83,.446,1,4,.250,12,22,.545,16,50,26,10,14,12,19,,34,81,.420,1,5,.200,10,17,.588,13,42,22,6,5,16,17
5,5,1997-11-08,,UTA,W,87,80,30,70,.429,0,4,.000,27,36,.750,14,45,15,8,8,19,45,,19,58,.328,3,10,.300,39,53,.736,10,33,13,10,3,17,36
6,6,1997-11-10,@,TOR,W,100,98,41,65,.631,6,11,.545,12,24,.500,8,42,33,8,10,28,25,,37,94,.394,7,12,.583,17,24,.708,19,34,24,15,5,11,17
7,7,1997-11-11,@,MIN,W,93,92,35,82,.427,1,11,.091,22,29,.759,23,54,15,6,2,19,19,,38,79,.481,4,10,.400,12,16,.750,8,27,23,9,6,13,23
8,8,1997-11-13,,LAL,L,100,109,37,75,.493,2,10,.200,24,29,.828,9,43,26,6,7,16,26,,40,83,.482,7,24,.292,22,33,.667,10,39,23,7,7,15,22
9,9,1997-11-15,,MIN,L,94,105,29,75,.387,4,13,.308,32,51,.627,12,54,18,2,6,13,34,,33,87,.379,1,4,.250,38,48,.792,13,54,21,10,3,5,31
10,10,1997-11-19,,GSW,W,108,87,37,72,.514,8,19,.421,26,37,.703,13,49,24,6,10,17,17,,36,89,.404,1,9,.111,14,20,.700,14,39,24,9,7,12,26
11,11,1997-11-21,@,SEA,L,74,94,28,82,.341,3,14,.214,15,30,.500,17,47,14,7,3,17,17,,38,80,.475,5,20,.250,13,18,.722,9,46,26,13,5,14,24
12,12,1997-11-22,@,UTA,L,74,103,27,73,.370,2,10,.200,18,21,.857,13,32,15,7,4,21,34,,33,65,.508,6,12,.500,31,39,.795,11,41,25,7,6,18,30
13,13,1997-11-25,@,DAL,W,102,91,41,75,.547,8,15,.533,12,23,.522,10,45,27,11,7,18,13,,37,86,.430,8,19,.421,9,12,.750,12,34,18,8,9,13,16
14,14,1997-11-26,,WAS,L,94,98,38,75,.507,2,12,.167,16,21,.762,6,36,25,4,8,14,23,,41,75,.547,3,8,.375,13,30,.433,8,34,25,12,6,9,26
15,15,1997-11-29,,DAL,W,96,87,37,76,.487,5,11,.455,17,22,.773,13,41,24,8,8,13,20,,33,78,.423,7,20,.350,14,20,.700,14,36,15,8,1,14,22
16,16,1997-11-30,@,ATL,L,96,108,40,75,.533,4,9,.444,12,17,.706,10,30,21,4,2,13,19,,45,79,.570,3,9,.333,15,24,.625,12,35,30,9,3,8,22
17,17,1997-12-02,,NYK,W,90,84,32,71,.451,1,3,.333,25,45,.556,13,44,22,10,5,14,20,,32,81,.395,1,11,.091,19,26,.731,14,45,18,8,5,13,28
18,18,1997-12-04,@,LAC,L,96,100,39,86,.453,3,9,.333,15,24,.625,10,41,18,6,4,17,22,,38,80,.475,7,12,.583,17,26,.654,9,45,14,6,10,13,28
19,19,1997-12-05,@,LAL,L,88,98,34,76,.447,3,9,.333,17,23,.739,13,36,18,8,8,21,23,,33,77,.429,7,15,.467,25,28,.893,14,40,23,8,6,15,20
20,20,1997-12-09,@,HOU,L,78,108,31,90,.344,6,16,.375,10,13,.769,14,43,23,10,2,15,19,,40,76,.526,10,18,.556,18,24,.750,7,46,28,9,6,13,16
21,21,1997-12-10,,LAC,W,102,87,34,71,.479,3,7,.429,31,39,.795,8,44,29,6,10,12,20,,34,86,.395,6,17,.353,13,20,.650,13,41,18,6,1,11,24
22,22,1997-12-13,,ORL,W,107,78,49,78,.628,1,4,.250,8,11,.727,7,41,26,5,7,14,18,,32,81,.395,3,5,.600,11,15,.733,14,35,15,8,6,19,16
23,23,1997-12-16,@,DEN,W,99,85,38,72,.528,6,14,.429,17,23,.739,8,44,28,5,8,16,26,,29,84,.345,4,11,.364,23,30,.767,17,40,14,13,2,11,21
24,24,1997-12-17,,VAN,W,98,87,39,82,.476,2,5,.400,18,27,.667,10,49,30,9,12,10,21,,33,86,.384,1,7,.143,20,23,.870,14,47,17,3,6,11,18
25,25,1997-12-20,,HOU,W,100,87,42,83,.506,7,17,.412,9,22,.409,11,41,27,9,3,10,22,,31,78,.397,2,21,.095,23,28,.821,8,43,10,7,3,13,20
26,26,1997-12-23,,IND,W,91,79,33,66,.500,3,9,.333,22,34,.647,10,46,19,6,7,18,17,,29,77,.377,4,11,.364,17,22,.773,6,32,16,8,4,12,25
27,27,1997-12-26,,BOS,W,101,86,35,64,.547,1,8,.125,30,39,.769,8,48,25,10,11,25,19,,37,89,.416,4,12,.333,8,10,.800,8,25,15,17,4,14,28
28,28,1997-12-28,@,POR,L,79,82,28,79,.354,7,22,.318,16,26,.615,15,49,15,6,5,12,19,,31,77,.403,3,12,.250,17,27,.630,11,47,11,7,7,13,21
29,29,1997-12-30,@,VAN,W,124,115,39,69,.565,15,27,.556,31,40,.775,7,43,29,5,8,12,19,,45,93,.484,10,13,.769,15,19,.789,13,38,28,9,3,6,26
30,30,1998-01-02,,POR,W,85,69,30,64,.469,8,20,.400,17,23,.739,8,47,19,6,6,23,20,,25,76,.329,3,8,.375,16,28,.571,8,37,11,10,4,12,24
31,31,1998-01-03,@,MIA,W,84,77,34,71,.479,3,13,.231,13,20,.650,12,41,22,7,3,14,16,,29,76,.382,3,14,.214,16,22,.727,10,38,12,8,9,12,20
32,32,1998-01-05,@,ORL,W,74,69,28,70,.400,2,10,.200,16,20,.800,11,47,13,7,7,17,17,,28,82,.341,3,13,.231,10,15,.667,14,44,17,11,4,13,19
33,33,1998-01-07,,DEN,W,96,89,35,64,.547,5,16,.313,21,34,.618,13,38,28,7,12,21,22,,37,85,.435,4,9,.444,11,19,.579,17,33,23,13,3,16,29
34,34,1998-01-09,@,PHO,L,79,100,30,86,.349,6,14,.429,13,22,.591,20,50,17,4,3,15,21,,40,83,.482,6,15,.400,14,25,.560,11,43,29,12,9,6,23
35,35,1998-01-10,,SAC,W,109,67,44,79,.557,4,9,.444,17,30,.567,9,52,30,10,3,11,15,,29,84,.345,0,9,.000,9,11,.818,9,37,16,5,4,16,22
36,36,1998-01-13,@,BOS,W,97,88,37,70,.529,6,17,.353,17,26,.654,4,39,24,8,6,22,21,,26,83,.313,5,20,.250,31,35,.886,14,39,9,11,5,13,24
37,37,1998-01-14,@,WAS,W,89,79,34,71,.479,6,11,.545,15,21,.714,10,47,19,4,4,17,20,,30,83,.361,2,8,.250,17,20,.850,12,39,19,7,5,8,16
38,38,1998-01-16,@,CHH,W,76,71,32,73,.438,2,8,.250,10,14,.714,6,42,18,5,8,12,19,,29,89,.326,0,8,.000,13,19,.684,18,52,19,5,2,9,16
39,39,1998-01-18,@,MIL,W,98,92,36,80,.450,3,15,.200,23,31,.742,13,44,21,5,7,17,16,,41,103,.398,3,7,.429,7,8,.875,24,54,19,8,5,14,26
40,40,1998-01-19,@,NJN,L,84,95,33,70,.471,1,7,.143,17,24,.708,13,45,19,3,9,18,18,,36,101,.356,6,17,.353,17,22,.773,30,55,19,11,4,5,22
41,41,1998-01-21,,ATL,W,90,76,35,78,.449,2,7,.286,18,30,.600,14,48,23,9,6,16,23,,26,74,.351,0,7,.000,24,34,.706,9,38,11,11,4,13,23
42,42,1998-01-23,,DAL,W,81,75,31,80,.388,2,16,.125,17,25,.680,14,54,21,6,8,12,20,,29,84,.345,3,15,.200,14,19,.737,8,42,18,7,4,7,18
43,43,1998-01-24,@,HOU,L,87,112,38,76,.500,1,5,.200,10,19,.526,6,25,26,6,6,14,22,,39,75,.520,7,14,.500,27,31,.871,10,41,18,9,3,15,16
44,44,1998-01-26,,HOU,W,115,90,46,78,.590,2,3,.667,21,23,.913,8,48,32,4,11,15,24,,30,86,.349,4,19,.211,26,36,.722,19,38,16,8,2,10,21
45,45,1998-01-28,,LAC,W,109,86,41,80,.513,6,10,.600,21,27,.778,16,53,33,4,11,12,23,,33,86,.384,4,17,.235,16,24,.667,12,35,15,8,10,9,20
46,46,1998-01-30,@,LAC,W,97,87,40,87,.460,3,9,.333,14,14,1.000,15,47,20,6,4,16,18,,32,80,.400,5,16,.313,18,26,.692,8,34,13,11,7,15,19
47,47,1998-02-01,@,SAC,W,103,97,38,88,.432,5,11,.455,22,28,.786,21,56,24,6,4,15,23,,35,85,.412,6,15,.400,21,28,.750,13,43,21,6,3,12,25
48,48,1998-02-03,@,GSW,W,105,96,43,85,.506,5,14,.357,14,21,.667,14,45,36,3,7,13,21,,40,83,.482,1,4,.250,15,20,.750,10,34,17,8,6,8,23
49,49,1998-02-11,,SEA,L,105,106,38,73,.521,6,12,.500,23,33,.697,15,41,20,9,4,13,17,,42,80,.525,10,26,.385,12,14,.857,7,31,20,8,3,9,24
50,50,1998-02-14,,PHO,L,81,94,33,92,.359,2,16,.125,13,19,.684,20,54,16,4,9,6,17,,37,87,.425,7,17,.412,13,17,.765,10,44,21,5,6,4,18
51,51,1998-02-17,,DET,W,95,94,39,71,.549,4,7,.571,13,19,.684,14,39,24,5,5,15,21,,36,75,.480,5,13,.385,17,21,.810,12,28,24,11,0,6,21
52,52,1998-02-19,@,DAL,W,87,81,33,76,.434,3,10,.300,18,27,.667,8,39,20,9,5,12,17,,33,90,.367,1,8,.125,14,18,.778,22,58,14,8,7,15,22
53,53,1998-02-21,,UTA,L,77,79,28,67,.418,1,8,.125,20,29,.690,8,34,15,9,5,12,26,,25,66,.379,1,4,.250,28,33,.848,8,36,13,11,1,16,26
54,54,1998-02-22,@,PHO,L,79,97,29,68,.426,4,7,.571,17,21,.810,10,39,17,4,2,24,20,,42,80,.525,4,12,.333,9,13,.692,7,37,33,12,4,13,14
55,55,1998-02-24,,MIN,W,105,99,37,82,.451,3,8,.375,28,42,.667,23,60,18,7,6,20,23,,35,86,.407,5,12,.417,24,31,.774,12,41,23,14,3,13,29
56,56,1998-02-26,,TOR,W,97,86,36,76,.474,2,3,.667,23,35,.657,18,48,20,6,9,18,14,,36,87,.414,6,15,.400,8,16,.500,14,40,19,14,7,16,28
57,57,1998-02-28,,PHI,W,100,88,40,76,.526,0,3,.000,20,29,.690,10,42,27,1,16,10,19,,34,94,.362,4,11,.364,16,20,.800,19,43,22,3,9,5,24
58,58,1998-03-02,@,SAC,W,116,95,44,76,.579,5,8,.625,23,30,.767,10,48,26,4,10,16,26,,32,85,.376,6,13,.462,25,36,.694,14,37,23,5,6,10,27
59,59,1998-03-04,@,GSW,L,83,90,32,73,.438,0,7,.000,19,31,.613,17,48,25,8,9,29,20,,35,84,.417,3,6,.500,17,21,.810,13,40,21,17,7,17,24
60,60,1998-03-06,@,LAL,L,84,91,34,78,.436,1,6,.167,15,16,.938,9,39,20,7,4,18,30,,30,70,.429,4,11,.364,27,38,.711,12,32,20,14,7,16,17
61,61,1998-03-08,@,POR,W,82,78,32,73,.438,1,5,.200,17,30,.567,15,49,25,5,5,16,18,,28,82,.341,2,11,.182,20,22,.909,17,48,19,6,3,13,22
62,62,1998-03-10,,NJN,W,79,78,30,66,.455,4,13,.308,15,25,.600,12,41,23,6,15,24,23,,24,78,.308,3,7,.429,27,31,.871,16,37,11,13,2,15,23
63,63,1998-03-12,,SAC,W,97,86,38,87,.437,7,17,.412,14,17,.824,17,42,27,6,6,11,20,,34,73,.466,3,11,.273,15,22,.682,9,39,18,7,3,14,18
64,64,1998-03-14,,CHI,L,86,96,35,77,.455,5,9,.556,11,17,.647,14,34,16,8,7,12,16,,38,83,.458,5,15,.333,15,17,.882,15,42,20,8,4,12,19
65,65,1998-03-16,,MIL,W,96,85,40,74,.541,2,8,.250,14,20,.700,13,49,27,7,7,19,18,,31,82,.378,5,9,.556,18,23,.783,16,33,20,15,7,12,20
66,66,1998-03-18,@,MIN,W,92,76,33,69,.478,3,7,.429,23,25,.920,7,41,22,3,7,13,17,,32,88,.364,2,13,.154,10,16,.625,19,44,27,6,3,9,23
67,67,1998-03-20,,CHH,L,82,92,35,77,.455,4,9,.444,8,13,.615,8,35,22,4,7,15,20,,33,69,.478,3,6,.500,23,28,.821,8,38,21,6,1,14,22
68,68,1998-03-22,,PHO,W,93,83,36,86,.419,4,11,.364,17,21,.810,14,55,20,6,3,9,23,,31,77,.403,5,18,.278,16,23,.696,7,42,14,7,3,10,19
69,69,1998-03-24,@,CLE,W,86,85,30,66,.455,3,10,.300,23,35,.657,10,39,20,3,11,16,20,,34,79,.430,4,8,.500,13,17,.765,10,35,23,9,4,12,27
70,70,1998-03-25,@,DET,L,94,103,37,78,.474,3,11,.273,17,20,.850,8,34,24,5,4,12,27,,37,73,.507,4,10,.400,25,31,.806,7,35,24,7,3,11,20
71,71,1998-03-27,@,PHI,W,110,85,39,71,.549,6,10,.600,26,40,.650,13,41,30,10,3,16,20,,33,78,.423,4,14,.286,15,21,.714,13,33,20,6,5,18,27
72,72,1998-03-29,@,IND,W,74,55,26,65,.400,3,4,.750,19,25,.760,13,48,13,6,9,12,16,,21,77,.273,2,11,.182,11,13,.846,15,41,9,7,1,14,20
73,73,1998-03-31,@,NYK,W,95,78,35,72,.486,5,10,.500,20,29,.690,14,47,20,6,6,12,14,,36,82,.439,2,13,.154,4,7,.571,11,33,25,6,1,7,22
74,74,1998-04-02,,MIA,W,103,89,42,80,.525,4,11,.364,15,27,.556,11,48,29,3,12,11,27,,27,80,.338,6,24,.250,29,37,.784,12,37,18,8,2,7,27
75,75,1998-04-04,,GSW,W,88,80,32,73,.438,0,2,.000,24,33,.727,9,50,16,10,10,17,20,,31,84,.369,2,12,.167,16,21,.762,9,34,12,5,8,15,28
76,76,1998-04-06,,POR,L,75,79,26,73,.356,4,14,.286,19,29,.655,18,48,14,10,6,14,17,,35,75,.467,2,6,.333,7,11,.636,10,39,20,7,8,13,22
77,77,1998-04-08,@,UTA,L,88,98,33,69,.478,7,17,.412,15,20,.750,7,29,20,2,6,12,30,,31,66,.470,2,4,.500,34,40,.850,13,43,17,8,4,11,20
78,78,1998-04-10,,SEA,W,99,84,39,79,.494,9,17,.529,12,15,.800,10,45,27,5,9,10,15,,32,79,.405,9,21,.429,11,17,.647,8,35,18,6,3,9,15
79,79,1998-04-13,,LAL,L,75,99,26,84,.310,3,13,.231,20,32,.625,19,47,14,7,5,8,25,,37,67,.552,6,17,.353,19,33,.576,5,48,21,7,5,11,22
80,80,1998-04-16,@,VAN,W,110,97,43,84,.512,8,21,.381,16,27,.593,14,40,30,4,7,9,21,,34,79,.430,3,9,.333,26,27,.963,15,44,20,7,7,13,20
81,81,1998-04-17,@,SEA,W,89,87,30,64,.469,3,16,.188,26,35,.743,5,35,20,5,5,15,20,,33,78,.423,7,24,.292,14,23,.609,9,37,22,11,1,12,29
82,82,1998-04-19,,DEN,W,96,82,38,76,.500,4,10,.400,16,28,.571,11,45,29,7,5,9,18,,31,74,.419,5,15,.333,15,20,.750,8,39,15,8,4,16,17