LeBron James\jamesle01,40:53,.505,.476,.190,.190,10.0,22.9,16.0,49.3,2.6,2.0,14.9,29.1,108,112
Kyrie Irving\irvinky01,37:39,.477,.341,.182,.545,2.7,6.2,4.3,22.1,4.3,0.0,9.9,35.8,104,114
Kevin Love\loveke01,37:21,.487,.471,.294,.059,5.5,34.5,19.0,11.2,1.4,0.0,18.7,25.6,89,114
J.R. Smith\smithjr01,36:16,.500,.500,1.000,.000,0.0,3.2,1.5,4.3,0.0,2.2,25.0,4.9,85,122
Tristan Thompson\thomptr01,31:00,.455,.455,.000,.000,19.8,22.7,21.1,0.0,0.0,2.6,0.0,15.8,117,117
Iman Shumpert\shumpim01,16:47,1.500,1.500,1.000,.000,0.0,7.0,3.2,0.0,0.0,0.0,50.0,5.3,102,123
Richard Jefferson\jefferi01,12:24,.436,.333,.333,.333,16.5,0.0,8.8,0.0,0.0,0.0,0.0,12.4,120,125
Matthew Dellavedova\dellama01,10:54,.333,.333,.333,.000,0.0,0.0,0.0,16.0,0.0,0.0,25.0,16.3,63,125
Channing Frye\fryech01,7:10,.532,.000,1.000,2.000,0.0,16.3,7.6,0.0,0.0,0.0,0.0,11.7,132,121
James Jones\jonesja02,2:24,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,125
Timofey Mozgov\mozgoti01,2:24,,,,,0.0,97.6,45.5,0.0,0.0,33.3,,0.0,,73
Mo Williams\willima01,2:24,.000,.000,.500,.000,0.0,0.0,0.0,0.0,22.4,0.0,33.3,55.7,0,75
Dahntay Jones\jonesda02,2:24,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,125
Team Totals,240,.480,.423,.250,.238,31.9,78.0,53.4,53.1,7.8,6.7,13.9,100.0,99.5,116.3