Draymond Green\greendr01,40:17,.627,.545,.545,.364,0.0,27.9,14.9,22.5,5.3,1.9,19.0,18.7,115,85
Stephen Curry\curryst01,35:54,.367,.367,.533,.000,3.3,11.4,7.6,21.3,0.0,0.0,25.0,26.6,72,106
Harrison Barnes\barneha02,30:11,.623,.600,.200,.100,0.0,3.4,1.8,9.5,1.8,0.0,0.0,16.5,130,107
Klay Thompson\thompkl01,24:23,.362,.375,.417,.083,0.0,20.9,11.2,11.2,0.0,6.2,0.0,24.4,82,98
Andrew Bogut\bogutan01,15:25,.714,.714,.000,.000,15.2,6.6,10.6,22.7,0.0,0.0,0.0,21.7,154,109
Andre Iguodala\iguodan01,35:52,.667,.667,.444,.000,9.8,11.4,10.6,22.1,1.5,2.1,0.0,12.0,156,102
Shaun Livingston\livinsh01,26:34,.850,.800,.000,.400,4.4,11.5,8.2,19.0,2.0,0.0,0.0,21.2,178,102
Leandro Barbosa\barbole01,11:25,1.100,1.100,.200,.000,0.0,8.9,4.8,0.0,0.0,0.0,0.0,20.9,220,108
Festus Ezeli\ezelife01,10:29,.250,.250,.000,.000,11.2,19.5,15.6,0.0,5.1,0.0,0.0,18.2,71,91
Anderson Varejao\varejan01,3:19,.000,.000,.000,.000,35.3,0.0,16.4,33.7,0.0,0.0,0.0,14.4,98,112
Ian Clark\clarkia01,2:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.2,0,112
Marreese Speights\speigma01,2:01,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,0,112
Brandon Rush\rushbr01,1:32,.000,.000,.000,.000,0.0,0.0,0.0,0.0,35.0,0.0,0.0,31.2,0,34
Team Totals,240,.569,.546,.310,.115,22.0,68.1,46.6,67.4,10.1,6.3,9.0,100.0,116.3,99.5